City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
164,sao joao da barra,BR,66.25,-21.64,-41.05,Pousada Porto De Canoas
165,guapore,BR,68.0,-28.85,-51.89,Hotel Topo Gigio
166,puerto maldonado,PE,71.28,-12.6,-69.18,Wasai Hotel
168,jalalabad,AF,95.0,34.43,70.45,Super Max Hotel and Restaurant
169,isangel,VU,73.67,-19.55,169.27,Volcano Sea View Tree House
172,banjarmasin,ID,86.94,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
173,kupang,ID,89.6,-10.17,123.58,Sylvia Hotel Premier Kupang
174,atambua,ID,78.69,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
175,bengkulu,ID,84.81,-3.8,102.27,Grage Hotel Bengkulu
176,cidreira,BR,66.06,-30.18,-50.21,Novomar Pousada e Turismo Ltda
177,gunjur,GM,80.6,13.2,-16.73,Kuba Lodge
178,los llanos de aridane,ES,71.6,28.66,-17.92,Valle Aridane
181,areni,AM,87.8,39.72,45.18,Park-Hotel Khoren's Lake
182,lorengau,PG,83.14,-2.02,147.27,Lorengau Harbourside Hotel
184,nara,JP,82.4,34.69,135.8,Guesthouse Nara Komachi
185,clyde,US,63.0,41.3,-82.98,Red Roof Inn Clyde
187,bambous virieux,MU,77.0,-20.34,57.76,Casa Tia Villa
190,tilichiki,RU,64.58,60.47,166.1,
191,shenkursk,RU,61.5,62.11,42.9,"""Vaga"" hotel"
194,kinwat,IN,96.84,19.63,78.2,Iqbal Lodge
195,arica,CL,62.6,-18.48,-70.3,Hostal Jardin Del Sol
196,erlenbach,DE,68.0,49.17,9.27,Vienna House Easy Neckarsulm
197,puli,TW,95.0,23.97,120.97,歐莉葉荷城堡
200,bilma,NE,101.77,18.69,12.92,Expeditions Ténére voyages
201,cuamba,MZ,74.48,-14.8,36.54,Hotel Vision
202,teya,RU,78.3,60.38,92.63,
204,alta floresta,BR,73.15,-9.88,-56.09,Floresta Amazonica Hotel
205,bryan,US,75.2,30.67,-96.37,Best Western Premier Bryan College Station
