City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
140,cap malheureux,28,MU,scattered clouds,70,-19.98,57.61,77.0,0.0,0.0,13.0
141,oksfjord,75,NO,broken clouds,66,70.24,22.35,63.0,0.0,0.0,9.17
142,clyde river,1,CA,clear sky,93,70.47,-68.59,35.6,0.0,0.0,2.24
143,cabo san lucas,0,MX,clear sky,41,22.89,-109.91,80.01,0.0,0.0,11.12
144,ullapool,100,GB,overcast clouds,82,57.9,-5.16,59.0,0.0,0.0,1.01
145,mar del plata,100,AR,light rain,87,-38.0,-57.56,48.0,0.53,0.53,4.7
146,nikolskoye,94,RU,overcast clouds,47,59.7,30.79,78.8,0.0,0.0,11.18
147,pacifica,90,US,mist,100,37.61,-122.49,60.01,0.0,0.0,5.82
148,umtata,0,ZA,clear sky,23,-31.59,28.78,53.6,0.0,0.0,3.13
149,bredasdorp,0,ZA,clear sky,71,-34.53,20.04,53.6,0.0,0.0,6.4
150,linguere,1,SN,clear sky,54,15.4,-15.12,81.99,0.0,0.0,12.53
151,honningsvag,97,NO,overcast clouds,66,70.98,25.97,53.6,0.0,0.0,13.87
152,winnemucca,1,US,clear sky,46,40.97,-117.74,69.8,0.0,0.0,10.29
153,san patricio,94,MX,light rain,75,19.22,-104.7,79.5,0.11,0.11,2.59
154,qiryat gat,0,IL,clear sky,69,31.61,34.76,79.0,0.0,0.0,8.84
155,banda aceh,86,ID,light rain,70,5.56,95.32,85.87,0.54,0.54,13.76
156,lazaro cardenas,100,MX,light rain,78,17.96,-102.2,78.93,0.12,0.12,5.21
157,hambantota,90,LK,overcast clouds,63,6.12,81.12,86.67,0.0,0.0,16.4
158,torbay,20,CA,few clouds,100,47.67,-52.73,63.0,0.0,0.0,4.7
159,radeberg,40,DE,scattered clouds,77,51.12,13.92,69.01,0.0,0.0,11.41
160,makasar,20,ID,few clouds,59,-5.14,119.42,89.6,0.0,0.0,8.05
161,rundu,0,NA,clear sky,40,-17.93,19.77,51.8,0.0,0.0,3.36
162,harlingen,1,US,clear sky,94,26.19,-97.7,77.0,0.0,0.0,7.14
163,jining,16,CN,few clouds,35,35.41,116.58,95.0,0.0,0.0,8.23
164,sao joao da barra,85,BR,overcast clouds,73,-21.64,-41.05,66.25,0.0,0.0,10.58
165,guapore,85,BR,overcast clouds,48,-28.85,-51.89,68.0,0.0,0.0,5.14
166,puerto maldonado,6,PE,clear sky,89,-12.6,-69.18,71.28,0.0,0.0,2.59
167,pangkalanbuun,100,ID,light rain,78,-2.68,111.62,83.01,0.55,0.55,4.07
168,jalalabad,20,AF,few clouds,44,34.43,70.45,95.0,0.0,0.0,5.82
169,isangel,97,VU,overcast clouds,87,-19.55,169.27,73.67,0.0,0.0,13.76
170,leningradskiy,100,RU,overcast clouds,87,69.38,178.42,34.5,0.0,0.0,4.03
171,buin,0,CL,clear sky,100,-33.73,-70.75,35.6,0.0,0.0,3.36
