City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,Cidreira,-30.18,-50.21,63.12,94,2,10.87,BR,2020-06-23 07:35:26
98,Hilo,19.73,-155.09,75.2,73,75,3.36,US,2020-06-23 07:34:04
99,Clyde River,70.47,-68.59,37.4,100,90,3.36,CA,2020-06-23 07:34:21
100,Aykhal,66.0,111.5,78.8,24,1,11.18,RU,2020-06-23 07:37:02
101,Haines Junction,60.75,-137.51,41.2,74,92,5.35,CA,2020-06-23 07:34:36
102,Qasigiannguit,68.82,-51.19,37.4,93,97,8.05,GL,2020-06-23 07:35:57
103,Mangit,40.6,70.96,93.2,18,20,9.17,UZ,2020-06-23 07:37:02
104,Vanimo,-2.67,141.3,83.52,74,9,7.4,PG,2020-06-23 07:36:00
105,Ancud,-41.87,-73.82,42.01,100,90,3.36,CL,2020-06-23 07:34:20
106,Sioux Lookout,50.1,-91.92,51.8,93,5,3.36,CA,2020-06-23 07:30:33
107,Arkhangelsk,64.54,40.54,53.6,62,75,8.95,RU,2020-06-23 07:37:03
108,Atkinson,42.84,-71.15,64.99,93,40,2.84,US,2020-06-23 07:37:03
109,Kerouane,9.27,-9.02,71.96,92,76,3.58,GN,2020-06-23 07:37:04
110,Solano,38.23,-121.95,71.6,77,1,27.51,US,2020-06-23 07:37:04
111,Bengkulu,-3.8,102.27,81.18,73,97,7.49,ID,2020-06-23 07:34:01
112,Vardo,70.37,31.11,42.8,70,75,14.99,NO,2020-06-23 07:34:56
113,Kapaa,22.08,-159.32,78.8,74,1,13.87,US,2020-06-23 07:34:16
114,Ternate,0.8,127.4,82.63,74,95,2.35,ID,2020-06-23 07:37:04
115,Agirish,61.92,63.02,55.49,60,99,4.56,RU,2020-06-23 07:37:05
116,Baykit,61.67,96.37,82.53,37,70,4.65,RU,2020-06-23 07:34:08
117,Ukiah,39.15,-123.21,73.4,56,1,5.82,US,2020-06-23 07:37:05
118,Shunyi,40.12,116.65,96.01,48,36,8.95,CN,2020-06-23 07:37:05
119,Hithadhoo,-0.6,73.08,84.76,72,4,9.71,MV,2020-06-23 07:34:19
120,Bluff,-46.6,168.33,39.0,83,78,3.0,NZ,2020-06-23 07:34:04
121,Tuatapere,-46.13,167.68,39.0,83,100,3.0,NZ,2020-06-23 07:34:34
122,Hobart,-42.88,147.33,54.0,93,75,19.46,AU,2020-06-23 07:33:48
123,Glendive,47.11,-104.71,54.0,70,9,3.18,US,2020-06-23 07:35:58
124,Guerrero Negro,27.98,-114.06,62.92,93,100,11.48,MX,2020-06-23 07:34:21
125,Ardakan,32.31,54.02,91.4,15,0,4.7,IR,2020-06-23 07:35:51
126,Ozernovskiy,51.5,156.52,46.98,90,100,3.89,RU,2020-06-23 07:37:07
127,Atuona,-9.8,-139.03,79.38,78,13,16.71,PF,2020-06-23 07:36:01
128,Wellington,-41.29,174.78,50.0,93,2,5.82,NZ,2020-06-23 07:35:18
129,Egvekinot,66.32,-179.17,45.18,57,0,2.48,RU,2020-06-23 07:37:08
130,Ambilobe,-13.2,49.05,86.61,40,0,8.05,MG,2020-06-23 07:37:08
131,Raudeberg,61.99,5.14,63.0,62,100,10.67,NO,2020-06-23 07:34:34
132,Bredasdorp,-34.53,20.04,51.8,93,0,3.13,ZA,2020-06-23 07:34:45
133,Kawalu,-7.38,108.21,78.37,79,100,5.19,ID,2020-06-23 07:37:08
134,Mahenge,-8.68,36.72,72.99,63,54,3.09,TZ,2020-06-23 07:37:09
135,Geraldton,-28.77,114.6,68.0,56,75,13.87,AU,2020-06-23 07:30:50
136,Shkurinskaya,46.59,39.36,81.64,54,0,4.61,RU,2020-06-23 07:37:09
137,Bathsheba,13.22,-59.52,82.4,69,20,23.04,BB,2020-06-23 07:34:12
138,Namatanai,-3.67,152.43,82.45,73,95,4.59,PG,2020-06-23 07:33:36
139,Awbari,26.59,12.78,86.47,16,0,9.51,LY,2020-06-23 07:37:10
140,Santa Fe,-31.63,-60.7,63.0,93,100,3.98,AR,2020-06-23 07:37:10
141,Charyshskoye,51.4,83.56,73.18,53,20,6.31,RU,2020-06-23 07:37:10
142,San Patricio,19.22,-104.7,80.1,76,0,2.98,MX,2020-06-23 07:34:48
143,Coquimbo,-29.95,-71.34,53.6,87,56,4.7,CL,2020-06-23 07:35:24
144,Leningradskiy,69.38,178.42,35.49,86,97,18.05,RU,2020-06-23 07:35:29
145,Bilopillya,51.15,34.31,68.94,89,100,5.82,UA,2020-06-23 07:37:11
146,Faanui,-16.48,-151.75,77.83,77,80,19.57,PF,2020-06-23 07:35:04
147,Sorland,67.67,12.69,59.0,82,40,3.36,NO,2020-06-23 07:37:11
148,Codrington,-38.27,141.97,54.57,92,5,7.96,AU,2020-06-23 07:34:49
149,Cabra,37.47,-4.44,80.01,38,0,5.97,ES,2020-06-23 07:37:12
150,Arraial Do Cabo,-22.97,-42.03,70.99,79,75,13.87,BR,2020-06-23 07:34:23
151,Tall Kayf,37.08,41.07,91.4,15,0,9.17,TR,2020-06-23 07:37:12
